Paul Vallone,19,Queens,Democrat,42-40 Bell Boulevard  Suite 507 Bayside  New York 11361 ,718-619-8611,250 Broadway  Suite 1841 New York  NY 10007,212-788-7250,district19@council.nyc.gov,http://www.council.nyc.gov/d19/images/features/District19_Vallone.jpg,,
Peter Koo,20,Queens,Democrat,135-27 38 Ave  Suite 388 Flushing  NY 11354 ,718-888-8747,250 Broadway Suite 1847 New York  NY 10007 ,212-788-7022 ,pkoo@council.nyc.gov,http://www.council.nyc.gov/d21/images/headshot.jpg,,
Julissa Ferreras,21,Queens,Democrat,32-33A Junction Blvd East Elmhurst  NY 11369 ,718-651-1917 ,250 Broadway Room 1866 New York  NY 10007,212-788-6862 ,,http://www.council.nyc.gov/d21/images/headshot.jpg,,
Costa Constantinides,22,Queens,Democrat,31-09 Newtown Avenue Suite 209  Astoria NY 11102,718-274-4500,250 Broadway  Suite 1808  New York  NY 10007,212-788-6963,costa@council.nyc.gov,http://www.council.nyc.gov/d22/images/features/d22.jpg,,
BARRY GRODENCHIK,23,Queens,Democrat,73-03 Bell Boulevard Oakland Gardens NY 11364,718-468-0137,250 Broadway Suite 1738 New York NY 10007,212-788-7075 ,m23@council.nyc.gov,http://council.nyc.gov/d23/images/grodenchik.jpg,,
Rory Lancman,24,Queens,Democrat,"78-40 164th Street Hillcrest  NY 11366",718-217-4969 ,250 Broadway Suite 1773 New York  NY 10007,212-788-6956 ,RLancman@council.nyc.gov,http://www.council.nyc.gov/d24/images/features/District24_Lancman.jpg,,
Daniel Dromm,25,Queens,Democrat,37-32 75th St. Jackson Heights  New York 11372,718-803-6373,250 Broadway  Suite 1826 New York  NY 10007,212-788-7066,,http://www.council.nyc.gov/d25/images/features/d25dromm.jpg,,
Jimmy Van Bramer,26,Queens,Democrat,47-01 Queens Boulevard Suite 205 Sunnyside  NY 11104,718-383-9566,250 Broadway  Suite 1833 New York  NY 10007,212-788-7370,JVanBramer@council.nyc.gov,http://www.council.nyc.gov/d26/images/features/d26vanbramer.jpg,,
I. Daneek Miller,27,Queens,Democrat,172-12 Linden Boulevard St. Albans  NY 11434 ,718-776-3700 ,250 Broadway Suite 1810 New York  NY 10007,212-788-7084,District27@council.nyc.gov,http://www.council.nyc.gov/d27/images/features/District27_Miller.jpg,,
Ruben Wills,28,Queens,Democrat,95-26 Sutphin Blvd Jamaica  NY 11435,718-206-2068,250 Broadway New York  NY 10007,212-788-6850,,http://www.council.nyc.gov/d28/images/features/WebSiteCM%20Wills%201.2.JPG,,
Karen Koslowitz,29,Queens,Democrat,118-35 Queens Blvd  17th Floor Forest Hills  NY 11375,718-544-8800 ,250 Broadway Suite 1872 New York  NY 10007 ,212-788-6981 ,Koslowitz@council.nyc.gov ,http://www.council.nyc.gov/d29/images/features/d29koslowitz.jpg,,
Elizabeth Crowley,30,Queens,Democrat,Atlas Park Mall - 71-19 80th Street  Suite 8-303 Glendale  NY 11385,(718) 366-3900 ,250 Broadway Suite 1765 New York  NY 10007,,ecrowley@council.nyc.gov,http://www.council.nyc.gov/d30/image/crowley_headshot_new.jpg,,
Donovan Richards,31,Queens,Democrat,"(Rockaway Office) 1931 Mott Avenue  Suite 410 Far Rockaway  NY 11691 OR (Laurelton Office) 234-26A Merrick Blvd. Laurelton  NY 11422","(Rockaway) 718-471-7014  OR (Laurelton) 718-527-4356 ",250 Broadway  Suite 1731 NY  NY 10007,212-788-7216,drichards@council.nyc.gov,http://www.council.nyc.gov/d31/images/cmrichardsheadshot.jpg,,
Eric Ulrich,32,Queens,Republican,"Ozone Park District Office: 93-06 101st Avenue  Ozone Park 11416 OR Rockaway District Office: 114-12 Beach Channel Drive  Suite 1 Rockaway Park  NY 11694 ",718-738-1083 ,250 Broadway Suite 1555 New York  NY 10007,212-788-7069,eulrich@council.nyc.gov,http://www.council.nyc.gov/d32/images/ulrichheadshot.jpg,,
Stephen Levin,33,Brooklyn,Democrat,410 Atlantic Avenue Brooklyn  NY 11217 ,718-875-5200 ,250 Broadway  1820 New York  NY 10007 ,212-788-7348 ,slevin@council.nyc.gov,http://www.council.nyc.gov/d33/images/features/d33levin.jpg,,
Antonio Reynoso,34,Brooklyn,Democrat,244 Union Ave  Brooklyn NY 11211 ,718-963-3141,250 Broadway Suite 1740 New York  NY 10007,212-788-7095,areynoso@council.nyc.gov ,http://www.council.nyc.gov/d34/images/features/District34Reynoso.jpg,,
Laurie Cumbo,35,Brooklyn,Democrat,1 Hanson Pl  Suite 201  Brooklyn  NY 11243,718-260-9191,250 Broadway Suite 1792 New York  NY 10007,212-788-7081,LCumbo@council.nyc.gov,http://www.council.nyc.gov/d35/images/features/District35_Cumbo1.jpg,,
Robert Cornegy,36,Brooklyn,Democrat,1360 Fulton Street Suite 500 Brooklyn  NY 11216,718-919-0740,250 Broadway Suite 1743 New York  NY 10007,212-788-7354,RCornegy@council.nyc.gov,http://www.council.nyc.gov/d36/images/features/District36_Cornegy.jpg,,
Rafael Espinal,37,Brooklyn,Democrat,786 Knickerbocker Avenue  Brooklyn  NY 11207,718-642-8664,250 Broadway Suite 1880 New York  NY 10007,212-788-7284,REspinal@council.nyc.gov,http://www.council.nyc.gov/d37/images/features/EspinalHeadshot.jpg,,
Carlos Menchaca,38,Brooklyn,Democrat,4417 4th Avenue  Ground Floor Brooklyn  NY 11220 ,718-439-9012,250 Broadway Suite 1728 New York  NY 10007,212-788-7372,info38@council.nyc.gov ,http://www.council.nyc.gov/d38/images/features/District38_Menchaca.jpg,,
Brad Lander,39,Brooklyn,Democrat,456 5th Ave Brooklyn  NY 11215,718-499-1090 ,"250 Broadway Suite 1751 New York  NY 10007 ",212-788-6969 ,lander@council.nyc.gov,http://www.council.nyc.gov/d39/images/features/d39lander.jpg,,
Mathieu Eugene,40,Brooklyn,Democrat,123 Linden Boulevard Brooklyn  New York 11226,718-287-8762,250 Broadway Suite 1789 New York  NY 10007,212-788-7352,mathieu.eugene@council.nyc.gov,http://www.council.nyc.gov/d40/images/features/d40eugene.jpg,,
Darlene Mealy,41,Brooklyn,Democrat,1757 Union Street  2nd Floor Brooklyn  NY 11213 ,718-953-3097,250 Broadway Suite 1778 New York  NY 10007,212-788-7387,,http://www.council.nyc.gov/d41/images/features/d41mealy.jpg,,
Inez Barron,42,Brooklyn,Democrat,718 Pennsylvania Ave. Brooklyn  New York 11207,718-649-9495,250 Broadway Suite 1823 New York  NY 10007,212-788-6957,,http://www.council.nyc.gov/d42/images/features/District42_Barron.jpeg,,
Vincent Gentile,43,Brooklyn,Democrat,8018 5th Avenue  Brooklyn  NY 11209 ,718-748-5200 ,250 Broadway  Room 1747  New York  NY 10007 ,212-788-7363 ,vgentile@council.nyc.gov,http://www.council.nyc.gov/d43/images/features/d43gentile.jpg,,
David G. Greenfield,44,Brooklyn,Democrat,4424 16th Avenue Brooklyn  New York 11204 ,718-853-2704,250 Broadway 17th Floor New York  NY 10007,718-853-2704 ,dgreenfield@council.nyc.gov,http://www.council.nyc.gov/d44/images/features/d44greenfield.jpg,,
Jumaane D. Williams,45,Brooklyn,Democrat,4517 Avenue D Brooklyn  NY 11203,718-629-2900,250 Broadway Suite 1754 New York  NY 10007,212-788-6859,JWilliams@council.nyc.gov,http://www.council.nyc.gov/d45/images/features/d45williams.jpg,,
Alan Maisel,46,Brooklyn,Democrat,"2424 Ralph Avenue Brooklyn  New York 11234 ",718-241-9330 ,"250 Broadway Suite 1538 New York  NY 10007 ",212-788-7286 ,AMaisel@council.nyc.gov,http://www.council.nyc.gov/d46/images/features/District46_Maisel.jpg,,
Mark Treyger,47,Brooklyn,Democrat,445 Neptune Avenue  Community Room 2C Brooklyn  New York 11224 OR 2015 Stillwell Ave Brooklyn  NY 11223 ,"718-373-9673 (Coney Island) OR 718-307-7151 (Bensonhurst/Gravesend) ",250 Broadway Suite 1785 New York  NY 10007 ,212-788-7045 ,,http://www.council.nyc.gov/d47/images/features/District47_Treyger.jpeg,,
Chaim M. Deutsch,48,Brooklyn,Democrat,2401 Avenue U  Brooklyn  NY 11229,718-368-9176,250 Broadway Suite 1815 New York  NY,212-788-7360,cdeutsch@council.nyc.gov,http://www.council.nyc.gov/d48/images/features/District48_Deutsch3.jpg,,
Deborah Rose,49,Staten Island,Democrat,130 Stuyvesant Place 6th Floor  Room 602 Staten Island  New York 10301 ,718-556-7370,250 Broadway Room 1868 New York  New York 10007,212-788-6972,drose@council.nyc.gov,http://www.council.nyc.gov/d49/images/features/d49rose.jpg,,
Steven Matteo,50,Staten Island,Republican,900 South Avenue  Suite 403 Staten Island  NY 10314,718-980-1017,250 Broadway Suite 1553 New York  NY 10007,250 Broadway Suite 1553 New York  NY 10007,SMatteo@council.nyc.gov ,http://www.council.nyc.gov/d50/images/features/matteo.jpg,,
Joe Borelli,51,Staten Island,Republican,3944 Richmond Avenue Staten Island  New York 10312 ,718-984-5151 ,City Hall Second Floor New York  NY 10007 ,212-788-7159 ,borelli@council.nyc.gov,,,
NAME,DISTRICT,BOROUGH,PARTY,DistrictAddress,District#,LegAddress,Leg#,Email,Twitter,NextElection,PhotoURL
